ProdId,Description,SalesGroup
R-69124,FF|Overnight oats|straw|AAD,GV FRESH FARE BREAKFAST
R-47827,FF|Pasta|Artichoke Penne|AAD,GV FRESH FARE FEATURE
R-68820,FF|Pasta|blanco|AAD,SPECIALS
R-68821,FF|Pasta|Duxcell Spaghetti,SPECIALS
R-36568,FF|Pasta|Spinach Avocado|AAD,GV FRESH FARE DAY
R-55234,FF|Pasta|Tomato basil|AAD,GV FRESH FARE DAY
R-54608,FF|Ratatoullie|bowl|AAD,GV FRESH FARE FEATURE
R-47096,FF|Risotto|Mushroom|Herbs&chee,GV FRESH FARE FEATURE
R-55151,FF|Risotto|Primavera|AAD,GV FRESH FARE FEATURE
R-55148,FF|Risotto|Squash|Herbs&cheese,GV FRESH FARE FEATURE
R-36574,FF|Salad|UBC Power|AAD,GV FRESH FARE DAY
R-50694,FF|Spaghetti Puttanesca|AAD,GV FRESH FARE DAY
R-56719,FF|Toast|Beans On Toast|AAD,GV FRESH FARE DAY
R-61875,FF|Toast|Bruscetta|AAD,GV FRESH FARE DAY
R-56718,FF|Toast|Farm Veg toast|AAD,GV FRESH FARE DAY
R-61874,FF|Toast|Mushroom toast|AAD,GV FRESH FARE DAY
R-68811,FF|Toast|primavera|AAD,GV FRESH FARE DAY
R-65943,FF|Toast|Shaved fennel|AAD,GV FRESH FARE DAY
R-36669,FF|Toast|Smashed Avocado|AAD,GV FRESH FARE DAY
R-36552,FF|Yaki Soba Miso Noodle|AAD,GV FRESH FARE DAY
R-54557,FLX|GLB|Garlic Flatbread,GV FLEX GLOBAL BOWL
R-45981,FREE|Greens|Gather Bowl,GV FRESH FARE DAY
R-44316,GRL|BOWL|White Bean|AAD,GV - GRILL BREAKFAST
R-67295,GZA|BowlEggplant miso|AAD,GV GYAZA
R-56509,HS|Quesadilla|Breakfast,FT BUENO
R-32886,VEG|Bowl|Curried Chickpea,FEAST
R-55942,VEG|Falafel bowl|Med,FEAST
R-56688,VEG|Shakshuka,OK - VEGETARIAN KITCHEN
R-35461,VEG|Tabbouleh Bowl,OK - VEGETARIAN KITCHEN
R-56827,CC|Chickpea Vindaloo|PLATE,FT OASIS/CHAAT
R-44885,FLX|Bao Shitake & Kimchi|AAD,GV FLEX BAO
R-40569,FLX|Bao|Bowl|Pork Belly,GV FLEX BAO
R-44886,FLX|Bao|Bowl|Thai Chicken,GV FLEX BAO
R-61970,FLX|Bao|Mushroom|AAD,GV FLEX BAO
R-61932,FLX|Beef brisket|AAD ,GV - FLEX BC
R-62000,FLX|Benny|mushroom spin|AAD,GV FLEX GLOBAL BOWL
R-57374,FLX|BPD|Crispy potato,FOOD
R-44376,FLX|Butter Chicken|275g,GV FLEX GLOBAL BOWL
R-57262,FLX|Butter Tofu 275g,GV FLEX GLOBAL BOWL
R-65254,FLX|Laksa|eggplant Tofu|AAD,GV - FLEX ASIAN NOODLE
R-64446,FLX|Laksa|ling cod|AAD 100g,GV - FLEX ASIAN NOODLE
R-45203,FLX|Laksa|Salmon|AAD,GV - FLEX ASIAN NOODLE
R-41308,FLX|Miso ramen|AAD,GV - FLEX ASIAN NOODLE
R-69621,FLX|Palak Paneer|AAD,GV FLEX GLOBAL BOWL
R-61435,FLX|Pasta|Mac + Cheese|350g,GV - FLEX BC
R-49596,FLX|Pasta|Primavera Spaghetti,SPECIALS
R-61908,FLX|Pasta|Ravioli butternut,GV - FLEX BC
R-44766,FLX|Pho Beef Noodle|AAD,GV - FLEX ASIAN NOODLE
R-44930,FLX|PHO Veg Noodle Soup|AAD,GV - FLEX ASIAN NOODLE
R-61955,FLX|Shoyu Chicken 170g,GV - FLEX BC
R-61958,FLX|Shoyu tofu 150g,GV - FLEX BC
R-61967,FLX|Spicy Soy Salmon 100g,GV - FLEX BC
R-62288,FLX|Spicy Soy tofu 150g,GV - FLEX BC
R-57280,FLX|Tonkotsu Ramen|AAD,GV - FLEX ASIAN NOODLE
R-62718,SL|Beef Brisket|+1,GV SIMPLY LOCAL
R-62716,SL|Beef Brisket|+2,GV SIMPLY LOCAL
R-62054,SL|Beef Brisket|+3,GV SIMPLY LOCAL
R-62053,SL|Beef Brisket|+4,GV SIMPLY LOCAL
R-49123,SL|Beef Brisket|AAD|SL,GV SIMPLY LOCAL
R-62078,SL|Beef flat roast| +1,GV SIMPLY LOCAL
R-62077,SL|Beef flat roast| +2,GV SIMPLY LOCAL
R-62076,SL|Beef flat roast| +3,GV SIMPLY LOCAL
R-48878,SL|Beef flat roast| +4,GV SIMPLY LOCAL
R-62209,SL|Beef flat roast| 125g,GV SIMPLY LOCAL
R-37781,SL|Big Veg|Caulif Roast|320g,GV SIMPLY LOCAL
R-47110,SL|Chicken Thigh (2) ,GV SIMPLY LOCAL
R-62071,SL|Chicken Thigh|+1,GV SIMPLY LOCAL
R-62070,SL|Chicken Thigh|+2,GV SIMPLY LOCAL
R-62069,SL|Chicken Thigh|+3,GV SIMPLY LOCAL
R-62068,SL|Chicken Thigh|+4,GV SIMPLY LOCAL
R-62175,SL|chimichuri thigh|+1,GV SIMPLY LOCAL
R-62174,SL|chimichuri thigh|+2,GV SIMPLY LOCAL
R-62173,SL|chimichuri thigh|+3,GV SIMPLY LOCAL
R-62172,SL|chimichuri thigh|+4,GV SIMPLY LOCAL
R-57250,SL|chimichuri thigh|160g,GV SIMPLY LOCAL
R-62115,SL|Herb'd Pork Loin|+1,GV SIMPLY LOCAL
R-62114,SL|Herb'd Pork Loin|+2,GV SIMPLY LOCAL
R-62113,SL|Herb'd Pork Loin|+4,GV SIMPLY LOCAL
R-37708,SL|Herb'd Pork Loin||125g,GV SIMPLY LOCAL
R-62125,SL|Maple salmon|+1,GV SIMPLY LOCAL
R-62126,SL|Maple salmon|+2,GV SIMPLY LOCAL
R-62124,SL|Maple salmon|+3,GV SIMPLY LOCAL
R-45376,SL|Maple salmon|100g,GV SIMPLY LOCAL
R-62140,SL|Olive Stuff Chicken Breas,GV SIMPLY LOCAL
R-62132,SL|Peppercorn Pork Chop|+1,GV SIMPLY LOCAL
R-62134,SL|Peppercorn Pork Chop|+2,GV SIMPLY LOCAL
R-62135,SL|Peppercorn Pork Chop|+3,FOOD
R-62133,SL|Peppercorn Pork Chop|+4,FOOD
R-62127,SL|Peppercorn Pork Chop|170g,GV SIMPLY LOCAL
R-62152,SL|Salmon gremolata|+1,GV SIMPLY LOCAL
R-62151,SL|Salmon gremolata|+2,GV SIMPLY LOCAL
R-62150,SL|Salmon gremolata|+3,GV SIMPLY LOCAL
R-62149,SL|Salmon gremolata|100g,GV SIMPLY LOCAL
R-62715,SL|Salmon Lemon herb|+1,GV SIMPLY LOCAL
R-62714,SL|Salmon Lemon herb|+2,GV SIMPLY LOCAL
R-62097,SL|Salmon Lemon herb|+3,GV SIMPLY LOCAL
R-62096,SL|Salmon Lemon herb|100g,GV SIMPLY LOCAL
R-36860,SL|Sauce|Add|Chimichurri ,GV SIMPLY LOCAL
R-45146,SL|Sauce|Add|Gremolata ,GV SIMPLY LOCAL
R-62302,SL|Sauce|RATIO|NEW,GV SIMPLY LOCAL
R-57243,SL|Side|beans and pesto,FOOD
R-37868,SL|Side|Beans Romano ,GV SIMPLY LOCAL
R-44814,SL|Side|Potato baked,GV SIMPLY LOCAL
R-36874,SL|Side|Potato Rosemary Roast,GV SIMPLY LOCAL
R-47746,SL|Side|Potato Smash Olive Oil,GV SIMPLY LOCAL
R-46330,SL|Side|Quinoa,GV SIMPLY LOCAL
R-36854,SL|Side|Rice Brown,GV SIMPLY LOCAL
R-52652,SL|Side|Roasted Potato,GV SIMPLY LOCAL
R-36853,SL|Side|SorghumRoasted,GV SIMPLY LOCAL
R-62303,SL|SIDEs x1|RATIO,GV SIMPLY LOCAL
R-44810,SL|SideYam Roasted Sage,GV SIMPLY LOCAL
R-45070,SL|Squash bowl(1),GV SIMPLY LOCAL
R-62118,SL|Squash bowl|+1,GV SIMPLY LOCAL
R-62117,SL|Squash bowl|+2,GV SIMPLY LOCAL
R-62116,SL|Squash bowl|+3,GV SIMPLY LOCAL
R-57242,SL|Starches blend|Beans legume,FOOD
R-57240,SL|Starches Blend|Potatoes,FOOD - HOT
R-57241,SL|Starches blend|Rice & grain,FOOD
R-57244,SL|Starches|RATIO|NEW,GV SIMPLY LOCAL
R-62144,SL|Vegetable lasagne|220g,GV SIMPLY LOCAL
R-62193,SL|vegetables x2|RATIO|NEW,GV SIMPLY LOCAL
R-56008,BEV|Rise Kombucha|Blueberry,BEVERAGE
R-56005,BEV|Rise Kombucha|Ginger,BEVERAGE
R-56040,BEV|Tonica Kombucha|Blueberry,BEVERAGE
R-56009,BEV|Tonica Kombucha|Grapefruit,BEVERAGE
R-56027,BEV|Tonica Kombucha|Green Tea,BEVERAGE
R-56004,BEV|Tonica Kombucha|Mango,BEVERAGE
R-55997,BEV|Tonica Kombucha|Original,BEVERAGE
R-56072,BEV|Tonica Kombucha|Peach,BEVERAGE
R-56106,BEV|Wild Tea Kombucha|Cola,BEVERAGE
R-56313,BEV|Wild Tea Kombucha|Crm Soda,BEVERAGE
R-56026,BEV|Wild Tea Kombucha|Orange,BEVERAGE
R-56512,BEV|Wild Tea Kombucha|Rootbeer,BEVERAGE
R-58379,DEL|Salad|Apple pecan ,GV - DELISH
R-62269,DEL|Salad|Avocado truffle,SPECIALS
R-55142,DEL|Salad|Baja goat cheese,GV - DELISH
R-64467,DEL|Salad|Baja|CHICKEN,GV - DELISH
R-46547,DEL|Salad|Bandit,GV - DELISH
R-62529,DEL|Salad|Bandit|Chicken,GV - DELISH
R-50302,DEL|Salad|Caesar Classic,GV - DELISH
R-62019,DEL|Salad|Caesar spicy,GV - DELISH
R-50301,DEL|Salad|Cobb ,GV - DELISH
R-57281,DEL|Salad|Gather Greenery,GV - DELISH
R-55144,DEL|Salad|Greek,GV - DELISH
R-44324,DEL|Salad|Marinated Tofu,GV - DELISH
R-40545,DEL|Salad|Mediteranean Chicken,GV - DELISH
R-56513,DEL|Salad|Spicy Caesar Chicken,GV - DELISH
R-56613,DEL|Smoothie|Almonds forever,GV - DELISH
R-44306,DEL|Smoothie|Banana Matcha ,GV - DELISH
R-43697,DEL|Smoothie|Blueberry Boost ,GV - DELISH
R-55185,DEL|Smoothie|C++,GV - DELISH
R-44591,DEL|Smoothie|Chocohlic ,GV - DELISH
R-36817,DEL|Smoothie|Delish,GV - DELISH
R-56680,DEL|Smoothie|Green means go,GV - DELISH
R-40466,DEL|Smoothie|Hawaiian Sun,GV - DELISH
R-50298,DEL|Smoothie|Nojito,GV - DELISH
R-36814,DEL|Smoothie|Orange Zinger,GV - DELISH
R-36763,DEL|Smoothie|Rise & Shine,GV - DELISH
R-49036,DEL|Smoothie|Strwbry Cupid,GV - DELISH
R-61887,FLX|lettuce wrap pork,GV - FLEX BC
R-55059,FLX|Lettuce wrap Tofu,GV - FLEX BC
R-61883,FLX|Sesame shallot chicken,GV - FLEX BC
R-61884,FLX|Sesame shallot chicken +1,GV - FLEX BC
R-61889,FLX|Sesame shallot chicken +2,GV - FLEX BC
R-37735,G&G|Salad|Caesar Kale,PRODUCTION FOOD
R-37738,G&G|Sand|Egg Salad Russian,PRODUCTION FOOD
R-65798,G&G|Sand|Egg Salad Russian.,PRODUCTION FOOD
R-60982,GRL|Prawn po-boy|FT,GV GRILL FEATURE
R-34864,GRL|Salad|Chef,OK - GRILL KITCHEN DAY
R-61740,GRL|Salad|Chop Chop,OK - GRILL KITCHEN DAY
R-56461,GRL|Salad|Nicoise,OK - GRILL BRUNCH
R-43886,SAND|Falafel Full Build,GV-SANDWICH
R-56539,VEG|Hulk Bowl,OK- VEGETARIAN KITCHEN FEATURE
R-54947,CAL|Black bean soup|AAD,GV - CALIENTE
R-55154,CAL|Bowl|Guacamole|AAD,GV - CALIENTE
R-62018,CAL|Bowl|Havana|Add Chicken,GV - CALIENTE
R-64909,CAL|Bowl|Havana|Add Scallop,GV - CALIENTE
R-35896,CAL|Bowl|Havana|Plant based,GV - CALIENTE
R-35900,CAL|Bowl|Latino|AAD,GV - CALIENTE
R-68790,CAL|Bowl|Pozole-tots|AAD,GV - CALIENTE
R-17487,CAL|Bowl|Roja-tots|AAD,GV - CALIENTE
R-44634,CAL|Bowl|Siesta|AAD,GV - CALIENTE BRUNCH
R-46511,CAL|Enchilada|Jalepeno ricotta,GV - CALIENTE
R-56647,CAL|quesadillia|bowl,SPECIALS
R-69619,CAL|Rst pepper quesadilla|AAD,SPECIALS
R-44889,CAL|Side|Chips & Salsa,GV - CALIENTE
R-44791,CAL|Side|Guacamole,GV - CALIENTE
R-47363,CAL|Side|Pico de Gallo,GV - CALIENTE
R-35269,CAL|SOUP|Quinoa Tortilla|350ml,FOOD
R-65938,CAL|Soup|Tortilla + pork belly,GV - CALIENTE
R-44511,CAL|Soup|Tortilla Chicken|350,GV - CALIENTE
R-64102,CAL|Soup|Tortilla veggie|AAD,GV - CALIENTE
R-68789,CAL|taco|Bean& Hominy(1)|AAD,GV - CALIENTE
R-62017,CAL|Taco|Cauliflower(1)AAD,GV - CALIENTE
R-50528,CAL|Taco|Chorizo|SP|AAD,GV - CALIENTE FEATURE
R-64940,CAL|Taco|crispy Chicken(1)|AAD,GV - CALIENTE
R-35879,CAL|Taco|ocean wise|Cod(1)|AAD,GV - CALIENTE
R-56711,CAL|Taco|Oceanwise|Prawn(1),GV - CALIENTE
R-61837,CAL|Taco|Oceanwise|Shrimp(1),GV - CALIENTE FEATURE
R-68791,CAL|Taco|Picadillo Beef(1),GV - CALIENTE
R-57235,CAL|Taco|plant based|corn(1),GV - CALIENTE FEATURE
R-44583,CAL|Taco|Pulled pork(1)|AAD,GV - CALIENTE
R-54196,CAL|Taco|Spinach feta,SPECIALS
R-55282,CAL|Taco|Steak(1)|AAD,GV - CALIENTE
R-35882,CAL|Taco|Sweet Potato|1 pc|AAD,FT BUENO
R-50363,GZA|Bowl|Acorn Squash|AAD,GV GYAZA
R-49761,GZA|Bowl|Bibimbap Tofu,GV GYAZA
R-68822,GZA|Bowl|Corn togorashi ,GV GYAZA
R-64725,GZA|Bowl|Crispy Cauli Bowl,GV GYAZA
R-50362,GZA|Bowl|Karaage Chicken|AAD,GV GYAZA
R-54342,GZA|Bowl|Kitsilano Tofu|AAD,GV GYAZA
R-50360,GZA|Bowl|Salmon ponzu,GV GYAZA
R-65512,GZA|Bowl|Spicy albacore Tuna,GV GYAZA
R-50361,GZA|Bowl|Spicy Beef|AAD,GV GYAZA
R-51249,GZA|Dashi+Dumps|AAD,GV GYAZA
R-68982,GZA|ramen broth|Udon,SPECIALS
R-50508,GZA|Soup|Miso|AAD,GV GYAZA
