IngredientId,Qty,Uom,Conversion,InvFactor,Recipe
P-50837,2.000,Kg,1.00000000,0.0952,P-27317
P-50839,2.000,Kg,1000.00000000,0.0952,P-27317
P-7444,100.000,g,0.00100000,4.7619,P-27317
I-3447,50.000,ml,1.00000000,50.0000,P-32244
I-60772,0.950,L,1.00000000,0.9500,P-32244
I-6443,10.000,ml,0.03381406,10.0000,P-32244
I-6829,2.840,Kg,1.00000000,1.4200,P-32663
I-1813,75.000,ml,0.03381406,15.0000,P-33555
I-60772,4.250,L,1.00000000,0.8500,P-33555
I-60805,10.000,ml,1.00000000,2.0000,P-33555
P-18907,20.000,g,1.00000000,4.0000,P-33555
P-42499,250.000,ml,0.00100000,50.0000,P-33555
P-44728,35.000,g,1.00000000,7.0000,P-33555
P-46869,75.000,g,0.00100000,15.0000,P-33555
P-50583,50.000,g,1.00000000,10.0000,P-33555
P-50584,500.000,g,0.00100000,100.0000,P-33555
P-7444,20.000,ml,0.00100000,4.0000,P-33555
I-3448,4.000,L,1.00000000,2.4390,P-33869
I-65741,0.057,Kg,1.00000000,2.8500,P-34084
P-9710,44.000,lb,1.00000000,2.2000,P-34293
I-4660,5.000,Kg,2.20462000,1.0417,P-34880
I-1813,0.120,L,35.21126761,0.1560,P-35251
I-2140,0.128,Kg,1.00000000,0.1664,P-35251
I-3387,0.320,L,1.00000000,0.4161,P-35251
I-4463,0.454,Kg,2.20462000,0.5904,P-35251
I-6026,30.000,g,1.00000000,39.0117,P-35251
P-7444,60.000,ml,0.00100000,78.0234,P-35251
P-19175,11.550,Kg,1.00000000,1.0490,P-35258
I-1813,250.000,ml,0.03381406,62.5000,P-35271
I-2653,500.000,g,0.00220462,125.0000,P-35271
I-60772,3.500,Kg,0.94667000,0.8750,P-35271
P-26019,15.000,g,1.00000000,3.7500,P-35271
I-6017,20.000,Kg,1.61250000,1.7544,P-35273
I-4933,450.000,g,0.00220462,1.1250,P-35712
I-4709,2.000,CT,1.00000000,0.6667,P-35848
I-6850,2.000,Kg,1000.00000000,0.6667,P-35848
P-18907,12.500,g,1.00000000,4.1667,P-35848
P-21077,1.000,Kg,1.00000000,0.3333,P-35848
P-57150,60.000,g,0.00100000,20.0000,P-35848
P-7444,2.000,fl oz,0.02840000,0.6667,P-35848
I-3630,5.000,g,0.03527399,2.2046,P-35880
I-6026,5.000,g,1.00000000,2.2046,P-35880
I-6443,50.000,ml,0.03381406,22.0459,P-35880
P-48495,60.000,g,1.00000000,26.4550,P-35880
P-9714,900.000,g,0.00100000,396.8254,P-35880
P-9851,1.300,Kg,1.00000000,0.5732,P-35880
I-3388,100.000,ml,0.00100000,44.0917,P-36089
I-3619,2.000,g,1.00000000,0.8818,P-36089
I-3643,5.000,g,0.00100000,2.2046,P-36089
I-4657,230.000,g,0.00220462,101.4109,P-36089
I-4894,2.500,Kg,2.20462000,1.1023,P-36089
I-5983,100.000,ml,0.00100000,44.0917,P-36089
I-6026,5.000,g,1.00000000,2.2046,P-36089
I-60772,1.900,L,1.00000000,0.9500,P-36090
P-36089,300.000,g,0.00100000,150.0000,P-36090
I-1813,15.000,ml,0.03381406,2.0000,P-36092
I-2254,2.000,L,1.00000000,0.2667,P-36092
I-60772,4.000,L,1.00000000,0.5333,P-36092
I-7953,2.000,Kg,1.00000000,0.2667,P-36092
I-3387,120.000,ml,0.00100000,66.1521,P-36141
I-3643,10.000,g,0.00100000,5.5127,P-36141
I-4735,2.260,Kg,2.20462000,1.2459,P-36141
P-52036,20.000,g,1.00000000,11.0254,P-36141
P-7444,10.000,g,0.00100000,5.5127,P-36141
I-3321,500.000,ml,0.00143287,500.0000,P-36640
I-3368,250.000,ml,1.00000000,250.0000,P-36640
I-3370,250.000,ml,1.00000000,250.0000,P-36640
P-24452,11.550,Kg,2.20462000,1.0132,P-38556
I-4894,15.000,Kg,2.20462000,1.6667,P-40584
I-51440,91.000,g,1.00000000,10.1111,P-40584
P-18907,20.000,g,1.00000000,2.2222,P-40584
P-45062,50.000,g,0.00100000,5.5556,P-40584
I-2653,100.000,g,0.00220462,5.0000,P-41021
I-3130,1892.000,ml,1.00000000,94.6000,P-41021
I-3291,1.360,Kg,1.00000000,0.0680,P-41021
I-5983,20.000,L,1.00000000,1.0000,P-41021
I-8060,1.360,Kg,1000.00000000,0.0680,P-41021
I-4598,23.000,Kg,1.25000000,1.6902,P-41095
I-5983,1.000,L,1.00000000,1.0000,P-42499
P-19175,11.500,Kg,1.00000000,1.0445,P-43440
P-50587,1.000,Kg,1.00000000,1.0000,P-44429
I-4787,268.000,g,0.00220462,1.2523,P-44475
I-2159,1.000,CT,1.00000000,1.0000,P-44587
I-3386,15.000,ml,0.00100000,15.0000,P-44587
P-18907,1.000,g,1.00000000,1.0000,P-44587
I-13635,500.000,g,0.00220462,333.3333,P-44651
I-3623,14.174,g,1.00000000,9.4493,P-44651
I-3660,0.500,L,0.88028169,0.3333,P-44651
I-3696,1.000,L,1000.00000000,0.6667,P-44651
I-4657,28.349,g,0.00220462,18.8993,P-44651
I-4660,28.349,g,0.00220462,18.8993,P-44651
I-5983,0.500,L,1.00000000,0.3333,P-44651
I-6026,45.000,g,1.00000000,30.0000,P-44651
P-50967,1.000,Kg,1.00000000,0.6667,P-44651
I-3454,19.000,L,1.00000000,1.6667,P-44652
I-4772,1.000,BUNCH,1.00000000,0.0222,P-44728
I-58278,1.000,lb,1.00000000,1.3333,P-44793
I-3993,1.100,Kg,1.00000000,1.2222,P-44797
I-3387,30.000,ml,0.00100000,18.7500,P-44913
I-4472,7.000,CT,1.00000000,4.3750,P-44913
I-4973,0.900,Kg,1000.00000000,0.5625,P-44913
I-6443,0.045,L,35.21126761,0.0281,P-44913
P-18907,5.000,g,1.00000000,3.1250,P-44913
I-4637,1.000,Kg,2.20462000,1.2500,P-44916
I-4508,1.000,Kg,2.20462000,2.0000,P-45047
I-3622,0.100,Kg,1.00000000,0.0137,P-45062
I-3632,0.050,Kg,1000.00000000,0.0068,P-45062
I-3639,0.100,Kg,1000.00000000,0.0137,P-45062
I-3643,0.050,Kg,1.00000000,0.0068,P-45062
I-40936,7.000,Kg,1000.00000000,0.9589,P-45062
I-2603,2.000,Kg,2.20462000,1.2500,P-45230
I-51440,80.000,g,1.00000000,50.0000,P-45230
P-18907,2.000,g,1.00000000,1.2500,P-45230
I-3965,4.000,Kg,1.00000000,0.0571,P-45255
I-51440,560.000,g,1.00000000,8.0000,P-45255
I-27410,5.000,Kg,1.00000000,2.8571,P-46076
I-3387,100.000,ml,0.00100000,5.8824,P-46545
I-3577,50.000,g,1.00000000,2.9412,P-46545
P-44797,18.000,Kg,1.00000000,1.0588,P-46545
I-2122,3.000,Kg,1.00000000,1.0345,P-46546
I-2208,1.000,L,1.00000000,0.2000,P-46613
I-2254,1.500,L,1.00000000,0.3000,P-46613
I-60772,2.500,L,1.00000000,0.5000,P-46613
P-46614,100.000,g,1.00000000,20.0000,P-46613
I-2911,20.000,g,0.00100000,0.0385,P-46614
I-3315,180.000,g,1.00000000,0.3462,P-46614
I-3632,250.000,g,1.00000000,0.4808,P-46614
I-3634,60.000,g,1.00000000,0.1154,P-46614
I-3639,100.000,g,1.00000000,0.1923,P-46614
I-3388,125.000,ml,0.00100000,62.5000,P-46637
I-3642,4.000,g,1.00000000,2.0000,P-46637
I-6026,10.000,g,1.00000000,5.0000,P-46637
P-44728,60.000,g,1.00000000,30.0000,P-46637
P-58359,4.000,Kg,2.20462000,2.0000,P-46637
I-35791,454.000,g,1.00000000,22.7000,P-46862
I-8060,1.000,Kg,1000.00000000,1.3333,P-46863
I-4693,1.000,CT,1.00000000,0.0017,P-46864
I-4709,1.000,CT,1.00000000,0.0128,P-46865
I-4894,1.000,Kg,2.20462000,1.1765,P-46869
I-3397,0.500,L,1.00000000,0.2857,P-47148
I-3695,0.100,L,1.00000000,0.0571,P-47148
I-47774,0.250,L,1.00000000,0.1429,P-47148
I-60772,1.200,L,1.00000000,0.6857,P-47148
I-9375,25.000,ml,0.00100000,14.2857,P-47148
I-3560,0.030,L,1.00000000,0.4000,P-47684
P-48495,10.000,g,1.00000000,133.3333,P-47684
P-57093,0.030,Kg,1000.00000000,0.4000,P-47684
P-9741,20.000,g,0.00100000,266.6667,P-47684
I-37469,1.000,L,1000.00000000,1.0753,P-48494
P-48495,30.000,g,1.00000000,32.2581,P-48494
P-26514,100.000,g,1.00000000,1.0000,P-48495
I-4375,48.000,CT,1.00000000,8.4211,P-48933
I-49251,1.000,Kg,2.20462000,1.0000,P-49267
P-15353,2.250,L,1.00000000,2.2500,P-49267
P-46076,20.000,g,0.00100000,1.0000,P-49552
I-4509,0.200,Kg,2.20462000,1.0000,P-49760
I-5022,0.200,Kg,1.00000000,1.0000,P-49760
I-4695,700.000,g,0.00220462,1.5556,P-50429
I-43648,4.000,Kg,1.00000000,1.0101,P-50488
I-5983,1000.000,ml,0.00100000,500.0000,P-50495
I-6820,1000.000,g,0.00100000,500.0000,P-50495
I-4745,25.000,lb,1.00000000,1.0870,P-50552
P-22247,500.000,g,1.00000000,1.1111,P-50583
P-44652,1.000,Kg,1.00000000,1.0000,P-50584
I-4933,10.000,Kg,2.20462000,1.0309,P-50587
I-4919,454.000,g,0.00220462,1.5133,P-50676
I-12176,36.000,g,0.00100000,18.4615,P-50778
I-19610,12.000,g,0.03527399,6.1538,P-50778
I-3619,2.000,g,1.00000000,1.0256,P-50778
I-3644,15.000,g,0.00100000,7.6923,P-50778
I-3660,0.240,Kg,1.00000000,0.1231,P-50778
I-4347,6.000,CT,1.00000000,3.0769,P-50778
I-9382,5.000,L,1.00000000,2.5641,P-50778
P-44916,40.000,g,0.00100000,20.5128,P-50778
P-53620,0.850,Kg,1.00000000,0.4359,P-50778
P-7444,40.000,ml,0.00100000,20.5128,P-50778
I-4791,1.000,Kg,2.20462000,0.0013,P-50837
I-4785,1.000,Kg,2.20462000,0.0013,P-50839
I-19283,1.000,bag,1.00000000,0.0021,P-50853
I-3388,200.000,ml,0.00100000,8.8889,P-50862
I-7065,35.000,Kg,1.00000000,1.5556,P-50862
P-18907,100.000,g,1.00000000,4.4444,P-50862
P-52036,200.000,g,1.00000000,8.8889,P-50862
P-57024,200.000,g,1.00000000,8.8889,P-50862
P-19208,1.000,Kg,1.00000000,1.0000,P-50967
I-4008,180.000,g,0.00100000,1.2857,P-51130
P-18907,10.000,g,1.00000000,0.0714,P-51130
P-12112,15.000,ml,0.00100000,15.0000,P-51230
P-36640,15.000,ml,0.00100000,15.0000,P-51230
P-46613,15.000,ml,0.00100000,15.0000,P-51230
P-48494,15.000,ml,0.00100000,15.0000,P-51230
P-35712,7.500,Kg,1000.00000000,0.0273,P-51231
P-62251,4.500,Kg,1000.00000000,0.0164,P-51231
P-34084,20.000,g,0.00100000,10.0000,P-51508
I-4787,1.000,Kg,2.20462000,0.0014,P-51535
I-51962,60.000,g,1.00000000,1.0000,P-51965
I-24229,1.000,LOAF,1.00000000,0.0625,P-51992
I-4919,1.000,Kg,2.20462000,0.0020,P-52036
I-30101,5.000,Kg,1.00000000,0.8333,P-53238
I-3624,15.000,g,0.00100000,2.5000,P-53238
I-5983,750.000,ml,0.00100000,125.0000,P-53238
I-6028,500.000,g,0.00100000,83.3333,P-53238
I-9382,50.000,ml,0.00100000,8.3333,P-53238
P-18907,5.000,g,1.00000000,0.8333,P-53238
I-3094,150.000,g,0.00100000,30.0000,P-53366
I-3448,500.000,ml,0.00100000,100.0000,P-53366
I-3617,150.000,g,1.00000000,30.0000,P-53366
I-3625,150.000,g,1.00000000,30.0000,P-53366
I-3638,15.000,g,1.00000000,3.0000,P-53366
I-47774,100.000,ml,0.00100000,20.0000,P-53366
I-5003,1.000,Kg,1.00000000,0.2000,P-53366
I-5983,1.000,L,1.00000000,0.2000,P-53366
I-6028,300.000,g,0.00100000,60.0000,P-53366
P-34880,250.000,g,0.00100000,50.0000,P-53366
P-50552,1.500,Kg,2.20462000,0.3000,P-53366
P-50676,250.000,g,1.00000000,50.0000,P-53366
P-7444,200.000,ml,0.00100000,40.0000,P-53366
P-9741,3.000,Kg,1.00000000,0.6000,P-53366
P-53366,4.000,Kg,1.00000000,0.3333,P-53367
P-55135,10.000,Kg,1.00000000,0.8333,P-53367
P-35258,0.250,Kg,1.00000000,0.1667,P-53598
P-48933,100.000,g,0.00100000,66.6667,P-53598
P-9710,1.000,Kg,2.20462000,0.6667,P-53598
P-9714,0.250,Kg,1.00000000,0.1667,P-53598
P-26074,200.000,ml,0.00100000,200.0000,P-53618
P-53598,1.000,Kg,1.00000000,1.0000,P-53618
P-24452,2.000,Kg,2.20462000,1.3333,P-53620
I-3454,1.000,L,1.00000000,0.0011,P-53735
I-3392,10.000,ml,0.00100000,0.0400,P-54676
P-49760,250.000,g,0.00100000,1.0000,P-54676
I-26667,1.000,ea,1.00000000,1.0000,P-55099
P-18907,2.000,g,1.00000000,2.0000,P-55099
I-45297,12.986,Kg,1.00000000,1.8036,P-55135
P-10115,0.070,Kg,1.00000000,0.2800,P-55150
P-26048,0.025,L,1.00000000,0.1000,P-55150
P-32663,0.020,Kg,1.00000000,0.0800,P-55150
P-35258,0.005,Kg,1.00000000,0.0200,P-55150
P-45047,3.000,g,0.00100000,12.0000,P-55150
P-46546,0.040,Kg,1.00000000,0.1600,P-55150
P-9765,0.030,Kg,1.00000000,0.1200,P-55150
P-9768,0.030,Kg,2.20462000,0.1200,P-55150
P-9781,0.045,Kg,1.00000000,0.1800,P-55150
I-3520,35.000,ml,0.00100000,1.0000,P-56136
I-4973,2.000,Kg,1000.00000000,0.4444,P-56398
I-6443,50.000,ml,0.03381406,11.1111,P-56398
P-26062,500.000,g,0.00100000,111.1111,P-56398
P-44913,2.000,Kg,1.00000000,0.4444,P-56398
I-3368,1.000,L,1000.00000000,0.2000,P-56455
I-60772,4.000,L,1.00000000,0.8000,P-56455
I-1813,20.000,g,0.03278689,0.0351,P-56492
I-3348,80.000,g,0.00094667,0.1404,P-56492
I-3624,2.000,g,0.00100000,0.0035,P-56492
P-18907,3.000,g,1.00000000,0.0053,P-56492
P-41095,50.000,g,0.00100000,0.0877,P-56492
P-43440,25.000,g,0.00100000,0.0439,P-56492
P-50429,5.000,g,1.00000000,0.0088,P-56492
P-53735,30.000,g,1.00000000,0.0526,P-56492
P-56952,340.000,g,0.00100000,0.5965,P-56492
